tmdbID,imdbID,Title,Year
19544,undefined,Afro Samurai,2007
44606,undefined,Beauty and the Beast,2012
57273,undefined,The Red Road,2014
958,undefined,Beast Wars: Transformers,1996
15030,undefined,Secrets of the Dead,2000
70027,undefined,The Greeks: Crucible of Civilization,2000
243,undefined,Penn & Teller: Bull!,2003
2879,undefined,History's Mysteries,1998
16115,undefined,Is It Real?,2006
62264,undefined,Ash vs Evil Dead,2015
4613,undefined,Band of Brothers,2001
60059,undefined,Better Call Saul,2015
95,undefined,Buffy the Vampire Slayer,1997
63647,undefined,Childhood's End,2015
118546,undefined,Clone High,2023
77169,undefined,Cobra Kai,2018
11240,undefined,Delta State,2004
4956,undefined,Dilbert,1999
1434,undefined,Family Guy,1999
4455,undefined,Get Smart,1965
4615,undefined,Hercules: The Legendary Journeys,1995
19614,undefined,It,1990
62413,undefined,Killjoys,2015
4607,undefined,Lost,2004
11235,undefined,Medabots,2001
578,undefined,Numb3rs,2005
27912,undefined,Off to War - From Rural Arkansas to Iraq,2004
11183,undefined,Poltergeist: The Legacy,1996
33841,undefined,R. L. Stine's The Haunting Hour,2010
54288,undefined,Science of the Bible,
1649,undefined,Sliders,1995
4604,undefined,Smallville,2001
1622,undefined,Supernatural,2005
32871,undefined,Supernatural: The Anime Series,2011
15632,undefined,The Cleveland Show,2009
100088,undefined,The Last of Us,2023
2316,undefined,The Office,2005
815,undefined,Peep Show,2003
101251,undefined,The Road to Red Restaurant List,2020
1398,undefined,The Sopranos,1999
47640,undefined,The Strain,2014
16399,undefined,The Twilight Zone,2002
1402,undefined,The Walking Dead,2010
1438,undefined,The Wire,2002
31098,undefined,Beast Wars II: Super Lifeform Transformers,1998
46648,undefined,True Detective,2014
63247,undefined,Westworld,2016
76098,tt1999811,'Weird Al' Yankovic - Live! The Alpocalypse Tour,2011
19913,tt1022603,(500) Days of Summer,2009
9282,tt0331811,11:14,2003
3021,tt0450385,1408,2007
16996,tt0974661,17 Again,2009
64688,tt1232829,21 Jump Street,2012
187017,tt2294449,22 Jump Street,2014
170,tt0289043,28 Days Later,2002
4513,tt0389722,30 Days of Night,2007
42941,tt1320304,30 Days of Night: Dark Days,2010
1271,tt0416449,300,2007
12138,tt0233142,3000 Miles to Graceland,2001
53182,tt1253863,300: Rise of an Empire,2014
5176,tt0381849,3:10 to Yuma,2007
64686,tt1335975,47 Ronin,2013
8224,tt0134273,8MM,1999
174316,tt1817081,A Case of You,2013
17979,tt1067106,A Christmas Carol,2009
9726,tt0401445,A Good Year,2006
31696,tt0102220,A Kiss Before Dying,1991
377,tt0087800,A Nightmare on Elm Street,1984
10072,tt0093629,A Nightmare on Elm Street 3: Dream Warriors,1987
10131,tt0095742,A Nightmare on Elm Street 4: The Dream Master,1988
10160,tt0097981,A Nightmare on Elm Street: The Dream Child,1989
10014,tt0089686,A Nightmare on Elm Street Part 2: Freddy's Revenge,1985
12403,tt0971209,A Perfect Getaway,2009
3509,tt0405296,A Scanner Darkly,2006
10223,tt0120324,A Simple Plan,1998
10229,tt0281358,A Walk to Remember,2002
1111873,tt27489557,Abigail,2024
122906,tt2194499,About Time,2013
421473,tt5688068,Above Suspicion,2019
72331,tt1611224,Abraham Lincoln: Vampire Hunter,2012
4688,tt0445922,Across the Universe,2007
419704,tt2935510,Ad Astra,2019
2757,tt0268126,Adaptation.,2002
2058,tt0118556,Addicted to Love,1997
16614,tt1091722,Adventureland,2009
964980,tt16419074,Air,2023
813,tt0080339,Airplane!,1980
94348,tt1712170,Alex Cross,2012
12155,tt1014759,Alice in Wonderland,2010
348,tt0078748,Alien,1979
82374,tt0238829,Alien Adventure,1999
8078,tt0118583,Alien Resurrection,1997
8077,tt0103644,Alien³,1992
679,tt0090605,Aliens,1986
440,tt0758730,Aliens vs Predator: Requiem,2007
399579,tt0437086,Alita: Battle Angel,2019
152747,tt2017038,All Is Lost,2013
786,tt0181875,Almost Famous,2000
222936,tt1243974,Aloha,2015
12142,tt0369226,Alone in the Dark,2005
6477,tt0952640,Alvin and the Chipmunks,2007
23398,tt1231580,Alvin and the Chipmunks: The Squeakquel,2009
73,tt0120586,American History X,1998
14242,tt0181288,American Movie,1999
2105,tt0163651,American Pie,1999
2770,tt0252866,American Pie 2,2001
71552,tt1605630,American Reunion,2012
451751,tt5451690,American Satan,2017
8273,tt0328828,American Wedding,2003
814,tt0082010,An American Werewolf in London,1981
9406,tt0118604,An American Werewolf in Paris,1997
14863,tt1137996,Anaconda 3: Offspring,2008
11237,tt0366174,Anacondas: The Hunt for the Blood Orchid,2004
19543,tt1150934,Anacondas: Trail of Blood,2009
37219,tt1154152,Andrea Bocelli - Vivere Live in Tuscany,2007
362111,tt0184215,Angels and Demons,1969
44629,tt1313092,Animal Kingdom,2010
13275,tt0417433,Annapolis,2006
300668,tt2798920,Annihilation,2018
102899,tt0478970,Ant-Man,2015
640146,tt10954600,Ant-Man and the Wasp: Quantumania,2023
9989,tt0218817,Antitrust,2001
9563,tt0146838,Any Given Sunday,1999
658397,tt6032704,Apparition,2019
9445,tt0118636,Apt Pupil,1998
297802,tt1477834,Aquaman,2018
224681,tt0378846,Are You Afraid of the Dark?,1996
1073,tt0137363,Arlington Road,1999
1139952,null,Arrow,2012
51052,tt1430607,Arthur Christmas,2011
256274,tt2870612,As Above, So Below,2014
121856,tt2094766,Assassin's Creed,2016
19995,tt0499549,Avatar,2009
99861,tt2395427,Avengers: Age of Ultron,2015
16161,tt0255819,Baby Boy,2001
9381,tt0364970,Babylon A.D.,2008
2924,tt0101393,Backdraft,1991
272,tt0372784,Batman Begins,2005
414,tt0112462,Batman Forever,1995
209112,tt2975590,Batman v Superman: Dawn of Justice,2016
3176,tt0266308,Battle Royale,2000
44943,tt1217613,Battle: Los Angeles,2011
760741,tt13223398,Beast,2022
321612,tt2771200,Beauty and the Beast,2017
397837,tt1691916,Before I Fall,2017
647302,tt3917506,Benny Loves You,2019
2310,tt0442933,Beowulf,2007
24046,tt0101435,Bernard and the Genie,1991
14290,tt0280477,Better Luck Tomorrow,2002
587,tt0319061,Big Fish,2003
1123885,tt20122398,Billy,2023
495764,tt7713068,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),2020
436270,tt6443346,Black Adam,2022
855,tt0265086,Black Hawk Down,2001
543,tt0019702,Blackmail,1929
36647,tt0120611,Blade,1998
36586,tt0187738,Blade II,2002
335984,tt1856101,Blade Runner 2049,2017
472226,tt7208564,Blood Fest,2018
338762,tt1634106,Bloodshot,2020
178,tt0109303,Blown Away,1994
565770,tt9362930,Blue Beetle,2023
8968,tt0357507,Boogeyman,2005
365177,tt4978420,Borderlands,2024
13996,tt0914797,Bottle Shock,2008
9382,tt0112571,Boys on the Side,1995
14237,tt0109327,Brainscan,1994
197,tt0112573,Braveheart,1995
9270,tt0393109,Brick,2006
254473,tt1430612,Brick Mansions,2014
29963,tt0810784,Bright Star,2009
531309,tt7752126,Brightburn,2019
1588,tt0204946,Bring It On,2000
98357,tt1235522,Broken City,2013
18480,tt0889583,Brüno,2009
10206,tt0103893,Buffy the Vampire Slayer,1992
424783,tt4701182,Bumblebee,2018
4944,tt0887883,Burn After Reading,2008
26391,tt0109361,Cabin Boy,1994
11977,tt0080487,Caddyshack,1980
111459,tt0038392,California,1947
271110,tt3498820,Captain America: Civil War,2016
1771,tt0458339,Captain America: The First Avenger,2011
100402,tt1843866,Captain America: The Winter Soldier,2014
299537,tt4154664,Captain Marvel,2019
9681,tt0402894,Casanova,2005
12225,tt0460740,Cashback,2007
36557,tt0381061,Casino Royale,2006
4787,tt0795493,Cassandra's Dream,2007
8358,tt0162222,Cast Away,2000
1537,tt0264472,Changing Lanes,2002
8319,tt0488988,Chapter 27,2007
212778,tt2883512,Chef,2014
93856,tt1991245,Chernobyl Diaries,2012
417644,tt0493405,CHiPS,2017
407518,tt4082524,Chosen,2016
420814,tt4575576,Christopher Robin,2018
15549,tt0312571,Cirque du Soleil: Alegria,2001
1406,tt0101587,City Slickers,1991
11310,tt0109439,City Slickers II: The Legend of Curly's Gold,1994
13600,tt0970411,City of Ember,2008
428501,tt6333056,City of Ghosts,2017
18823,tt0800320,Clash of the Titans,2010
2292,tt0109445,Clerks,1994
2295,tt0424345,Clerks II,2006
83542,tt1371111,Cloud Atlas,2012
39213,tt1334521,Coach,2010
7214,tt0393162,Coach Carter,2005
7520,tt0094889,Cocktail,1988
354912,tt2380307,Coco,2017
220289,tt2866360,Coherence,2013
1538,tt0369339,Collateral,2004
276908,tt2965412,Comet,2014
37430,tt0816462,Conan the Barbarian,2011
561,tt0360486,Constantine,2005
39538,tt1598778,Contagion,2011
14836,tt0327597,Coraline,2009
101173,tt1372686,Coriolanus,2011
3933,tt0121164,Corpse Bride,2005
669735,tt6395680,Covenant,2018
49849,tt0409847,Cowboys & Aliens,2011
6282,tt0200550,Coyote Ugly,2000
511987,tt8364368,Crawl,2019
25196,tt1263670,Crazy Heart,2009
312221,tt3076658,Creed,2015
480530,tt6343314,Creed II,2018
201085,tt2554274,Crimson Peak,2015
146,tt0190332,Crouching Tiger, Hidden Dragon,2000
12706,tt0159382,Croupier,1998
62720,tt0039288,Cry Wolf,1947
431,tt0123755,Cube,1997
437,tt0285492,Cube 2: Hypercube,2002
438,tt0377713,Cube Zero,2004
10012,tt0257516,Cursed,2005
347754,tt3212904,Curve,2015
27306,tt0270841,Cyber Wars,2004
1313571,null,Dance with Julianne Just Dance,
18887,tt0052722,Darby O'Gill and the Little People,1959
9480,tt0287978,Daredevil,2003
2666,tt0118929,Dark City,1998
9556,tt0099365,Darkman,1990
19002,tt0116033,Darkman III: Die Darkman Die,1996
10727,tt0282209,Darkness Falls,2003
924,tt0363547,Dawn of the Dead,2004
11443,tt0112819,Dead Presidents,1995
14001,tt0455760,Dead Silence,2007
55215,tt1711366,Dead Space: Aftermath,2011
13190,tt1267379,Dead Space: Downfall,2008
618433,tt6716912,Dead Water,2020
383498,tt5463162,Deadpool 2,2018
11835,tt0804461,Death Sentence,2007
395990,tt1137450,Death Wish,2018
299939,tt2769184,Debug,2014
18442,tt0357585,Decoys,2004
18443,tt0400347,Decoys 2: Alien Seduction,2007
8656,tt0120647,Deep Impact,1998
7551,tt0453467,Déjà Vu,2006
184346,tt2377322,Deliver Us from Evil,2014
9739,tt0106697,Demolition Man,1993
774021,tt13392012,Demonic,2021
449443,tt1259528,Den of Thieves,2018
108993,tt0990363,Detention,2010
44040,tt1314655,Devil,2010
13025,tt0848557,Diary of the Dead,2007
36669,tt0246460,Die Another Day,2002
562,tt0095016,Die Hard,1988
1573,tt0099423,Die Hard 2,1990
10567,tt0130623,Dinosaur,2000
501170,tt5606664,Doctor Sleep,2019
284052,tt1211837,Doctor Strange,2016
916060,tt0305482,Dodgeball,2001
1832,tt0120655,Dogma,1999
62837,tt1564349,Dolphin Tale,2011
10607,tt0116126,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996
46261,tt1270761,Don't Be Afraid of the Dark,2010
294308,tt1572306,Don't Blink,2014
619730,tt10731256,Don't Worry Darling,2022
141,tt0246578,Donnie Darko,2001
8814,tt0419706,Doom,2005
520901,tt8328716,Doom: Annihilation,2019
936964,null,Double,2022
49017,tt0829150,Dracula Untold,2014
16871,tt1127180,Drag Me to Hell,2009
10423,tt0106770,Dragon: The Bruce Lee Story,1993
17031,tt0825245,Dragonlance: Dragons of Autumn Twilight,2008
14164,tt1098327,Dragonball Evolution,2009
848,tt0082288,Dragonslayer,1981
49049,tt1343727,Dredd,2012
257366,tt0079088,Dummy,1979
438631,tt1160419,Dune,2021
43935,tt1013860,Dylan Dog: Dead of Night,2011
137113,tt1631867,Edge of Tomorrow,2014
8869,tt0271367,Eight Legged Freaks,2002
68724,tt1535108,Elysium,2013
13531,tt0112950,Empire Records,1995
103488,tt0159423,Encounter in the Third Dimension,1999
77016,tt1855199,End of Watch,2012
176077,tt2229377,Enter the Dangerous Mind,2013
116711,tt0848537,Epic,2013
32685,tt0101821,Ernest Scared Stupid,1991
10061,tt0116225,Escape from L.A.,1996
522681,tt5886046,Escape Room,2019
9352,tt0356150,EuroTrip,2004
109428,tt1288558,Evil Dead,2013
29917,tt1258197,Exam,2009
147441,tt1528100,Exodus: Gods and Kings,2014
46340,tt0988088,Fabric of Time,2007
754,tt0119094,Face/Off,1997
65215,tt0385690,Family Guy Presents: Stewie Griffin: The Untold Story,2005
259316,tt3183660,Fantastic Beasts and Where to Find Them,2016
147703,tt2571354,Amazing Ocean 3D,2013
539537,tt0983946,Fantasy Island,2020
41283,tt1433108,Faster,2010
10443,tt0106881,Fearless,1993
55839,tt1354687,Feed the Fish,2011
550,tt0137523,Fight Club,1999
17336,tt1082601,Fighting,2009
9532,tt0195714,Final Destination,2000
9286,tt0414982,Final Destination 3,2006
647,tt0385700,Final Fantasy VII: Advent Children,2005
2114,tt0173840,Final Fantasy: The Spirits Within,2001
5521,tt0192023,Finder's Fee,2001
127380,tt2277860,Finding Dory,2016
12,tt0266543,Finding Nemo,2003
400710,tt2039338,Flatliners,2017
14527,tt0356614,Foolproof,2003
1788,tt0087277,Footloose,1984
417261,tt4103724,Forever My Girl,2018
13,tt0109830,Forrest Gump,1994
263855,tt2093995,Fort Bliss,2014
8884,tt0893402,Franklyn,2008
136,tt0022913,Freaks,1932
6466,tt0329101,Freddy vs. Jason,2003
11284,tt0101917,Freddy's Dead: The Final Nightmare,1991
10634,tt0113118,Friday,1995
13207,tt0758746,Friday the 13th,2009
9725,tt0082418,Friday the 13th Part 2,1981
498334,tt3756302,Friday the 13th Part 3: The Memoriam Documentary,2018
9731,tt0089173,Friday the 13th: A New Beginning,1985
10225,tt0091080,Friday the 13th Part VI: Jason Lives,1986
10281,tt0095179,Friday the 13th Part VII: The New Blood,1988
10283,tt0097388,Friday the 13th Part VIII: Jason Takes Manhattan,1989
9730,tt0087298,Friday the 13th: The Final Chapter,1984
11797,tt0089175,Fright Night,1985
109445,tt2294629,Frozen,2013
7552,tt0369441,Fun with Dick and Jane,2005
72559,tt1583421,G.I. Joe: Retaliation,2013
14869,tt1046173,G.I. Joe: The Rise of Cobra,2009
34112,tt0414036,Gamebox 1.0,2004
3131,tt0217505,Gangs of New York,2002
401,tt0333766,Garden State,2004
782,tt0119177,Gattaca,1997
1956,tt0302674,Gerry,2002
10060,tt0430308,Get Rich or Die Tryin',2005
146227,tt2167202,Getaway,2013
71676,tt1071875,Ghost Rider: Spirit of Vengeance,2011
9645,tt0288477,Ghost Ship,2002
60898,tt0100014,Erotic Ghost Story,1990
404073,tt5115546,Ghost Team,2016
12797,tt0995039,Ghost Town,2008
43074,tt1289401,Ghostbusters,2016
9871,tt0210070,Ginger Snaps,2000
10361,tt0353489,Ginger Snaps 2: Unleashed,2004
12583,tt0365265,Ginger Snaps Back: The Beginning,2004
98,tt0172495,Gladiator,2000
450465,tt6823368,Glass,2019
67675,tt1922612,Glee: The Concert Movie,2011
9430,tt0139239,Go,1999
205584,tt2404233,Gods of Egypt,2016
124905,tt0831387,Godzilla,2014
399566,tt5034838,Godzilla vs. Kong,2021
373571,tt3741700,Godzilla: King of the Monsters,2019
710,tt0113189,GoldenEye,1995
16246,tt0071571,Gone in 60 Seconds,1974
429200,tt4846232,Good Time,2017
769,tt0099685,GoodFellas,1990
257445,tt1051904,Goosebumps,2015
980489,tt4495098,Gran Turismo,2023
19158,tt0099697,Graveyard Shift,1990
348089,tt4366830,Grease Live,2016
44912,tt1133985,Green Lantern,2011
313922,tt4062536,Green Room,2016
8923,tt0385002,Green Street Hooligans,2005
22972,tt0947810,Green Zone,2010
10428,tt0113243,Hackers,1995
10688,tt0171359,Hamlet,2000
323368,tt3011960,Hangman,2017
45862,tt0342508,Hangman's Curse,2003
1248,tt0367959,Hannibal Rising,2007
82309,tt0249567,Hansel and Gretel,1983
2652,tt0424136,Hard Candy,2005
8052,tt0119256,Hard Eight,1997
672,tt0295297,Harry Potter and the Chamber of Secrets,2002
674,tt0330373,Harry Potter and the Goblet of Fire,2005
767,tt0417741,Harry Potter and the Half-Blood Prince,2009
675,tt0373889,Harry Potter and the Order of the Phoenix,2007
671,tt0241527,Harry Potter and the Philosopher's Stone,2001
7873,tt0433387,Harsh Times,2005
10592,tt0251114,Hart's War,2002
9469,tt0124718,He Got Game,1998
38150,tt1220214,Heartless,2010
949,tt0113277,Heat,1995
429476,tt1999890,Hell Fest,2018
44835,tt1403177,Hesher,2010
360784,tt2131532,Hidden,2015
8488,tt0386588,Hitch,2005
8326,tt0311289,Holes,2003
12257,tt0119304,Home Fries,1998
4638,tt0425112,Hot Fuzz,2007
11059,tt0317676,House of the Dead,2003
10066,tt0397065,House of Wax,2005
10191,tt0892769,How to Train Your Dragon,2010
82702,tt1646971,How to Train Your Dragon 2,2014
341689,tt3859310,How to Talk to Girls at Parties,2017
1927,tt0286716,Hulk,2003
1039674,null,Hungry Ghosts,2007
46713,tt1563719,Hunt to Kill,2010
10476,tt0410097,Hustle & Flow,2005
6479,tt0480249,I Am Legend,2007
46529,tt1464540,I Am Number Four,2011
30128,tt1220628,I Hope They Serve Beer in Hell,2009
3597,tt0119345,I Know What You Did Last Summer,1997
244267,tt2884206,I Origins,2014
3600,tt0130018,I Still Know What You Did Last Summer,1998
100241,tt1418377,I, Frankenstein,2014
2048,tt0343818,I, Robot,2004
57612,tt0996382,IMAX Dolphins and Whales: Tribes of the Ocean,2008
37958,tt1253864,Immortals,2011
21794,tt0460435,In a Dark Place,2006
8321,tt0780536,In Bruges,2008
73686,tt1417075,In Darkness,2011
369256,,In Flames: Used & Abused. In Live We Trust,2005
205775,tt1390411,In the Heart of the Sea,2015
2654,tt0113409,In the Mouth of Madness,1995
49530,tt1637688,In Time,2011
27205,tt1375666,Inception,2010
602,tt0116629,Independence Day,1996
217,tt0367882,Indiana Jones and the Kingdom of the Crystal Skull,2008
89,tt0097576,Indiana Jones and the Last Crusade,1989
85,tt0082971,Raiders of the Lost Ark,1981
87,tt0087469,Indiana Jones and the Temple of Doom,1984
24869,tt1071804,Ink,2009
2309,tt0494238,Inkheart,2008
280092,tt3195644,Insidious: Chapter 3,2015
406563,tt5726086,Insidious: The Last Key,2018
320,tt0278504,Insomnia,2002
628,tt0110148,Interview with the Vampire,1994
224141,tt2180411,Into the Woods,2014
24767,tt0110157,Iron Will,1994
564147,tt7838252,K.G.F: Chapter 1,2018
474350,tt7349950,It Chapter Two,2019
22897,tt1230414,It's Complicated,2009
81005,tt1351685,Jack the Giant Slayer,2013
14158,tt1117523,Jackass 2.5,2007
12094,tt0493430,Jackass Number Two,2006
208134,tt3063516,Jackass Presents: Bad Grandpa,2013
265065,tt1600413,Jackass: The Lost Tapes,2009
9012,tt0322802,Jackass: The Movie,2002
184,tt0119396,Jackie Brown,1997
25,tt0418763,Jarhead,2005
10285,tt0107254,Jason Goes to Hell: The Final Friday,1993
11470,tt0211443,Jason X,2001
416179,null,Jean Butler's Irish Dance Masterclass,2005
55194,tt1662514,Jedi Junkies,2010
8922,tt0263488,Jeepers Creepers,2001
11351,tt0301470,Jeepers Creepers 2,2003
298250,tt3348730,Jigsaw,2017
75761,tt1783732,John Dies at the End,2013
245891,tt2911666,John Wick,2014
324552,tt4425200,John Wick: Chapter 2,2017
458156,tt6146586,John Wick: Chapter 3 - Parabellum,2019
603692,tt10366206,John Wick: Chapter 4,2023
24272,tt0175790,Joseph and the Amazing Technicolor Dreamcoat,1999
27210,tt1236201,Josh Groban: Awake Live,2008
88751,tt0373051,Journey to the Center of the Earth,2008
8247,tt0489099,Jumper,2008
76757,tt1617661,Jupiter Ascending,2015
329,tt0107290,Jurassic Park,1993
135397,tt0369610,Jurassic World,2015
351286,tt4881806,Jurassic World: Fallen Kingdom,2018
618344,tt11079148,Justice League Dark: Apokolips War,2020
167,tt0272152,K-PAX,2001
306650,tt3622120,Kajaki,2014
10628,tt0257568,Kangaroo Jack,2003
39158,tt0491005,Kaw,2007
342521,tt4139124,Keanu,2016
49021,tt1448755,Killer Elite,2011
16296,tt0095444,Killer Klowns from Outer Space,1988
9477,tt0349683,King Arthur,2004
274857,tt1972591,King Arthur: Legend of the Sword,2017
1495,tt0320661,Kingdom of Heaven,2005
5236,tt0373469,Kiss Kiss Bang Bang,2005
74461,tt1545660,Knights of Badassdom,2013
263472,tt3605418,Knock Knock,2015
293167,tt3731562,Kong: Skull Island,2017
140300,tt2267968,Kung Fu Panda 3,2016
313369,tt3783958,La La Land,2016
13597,tt0091369,Labyrinth,1986
9825,tt0139414,Lake Placid,1999
336560,tt4497416,Lake Placid vs. Anaconda,2015
135309,tt2117905,Lake Placid: The Final Chapter,2012
13279,tt0947802,Lakeview Terrace,2008
22803,tt1197624,Law Abiding Citizen,2009
947,tt0056172,Lawrence of Arabia,1962
25195,tt1216492,Leap Year,2010
443463,tt3892172,Leave No Trace,2018
276907,tt3569230,Legend,2015
41216,tt1219342,Legend of the Guardians: The Owls of Ga'Hoole,2010
11774,tt0339291,Lemony Snicket's A Series of Unfortunate Events,2004
11811,tt0107387,Leprechaun,1993
18009,tt0110329,Leprechaun 2,1994
19286,tt0113636,Leprechaun 3,1995
19287,tt0116861,Leprechaun 4: In Space,1997
18011,tt0209095,Leprechaun in the Hood,2000
518158,tt8155182,Leprechaun Returns,2018
19288,tt0339294,Leprechaun: Back 2 tha Hood,2003
126172,tt2345613,Leprechaun: Origins,2014
48750,tt0113828,Les Miserables,1995
87827,tt0454876,Life of Pi,2012
931642,tt16368898,Lights Out,2024
51876,tt1219289,Limitless,2011
100,tt0120735,Lock, Stock and Two Smoking Barrels,1998
81796,tt1592525,Lockout,2012
263115,tt3315342,Logan,2017
59967,tt1276104,Looper,2012
8973,tt0113690,Lord of Illusions,1995
49196,tt0148422,Lord of the Dance,1997
122,tt0167260,The Lord of the Rings: The Return of the King,2003
120,tt0120737,The Lord of the Rings: The Fellowship of the Ring,2001
121,tt0167261,The Lord of the Rings: The Two Towers,2002
638,tt0116922,Lost Highway,1997
585511,tt7214954,Luck,2022
47608,tt0113729,Mad Love,1995
76341,tt1392190,Mad Max: Fury Road,2015
2293,tt0113749,Mallrats,1995
132232,tt2023587,Mama,2013
11631,tt0795421,Mamma Mia!,2008
458423,tt6911608,Mamma Mia! Here We Go Again,2018
8619,tt0311113,Master and Commander: The Far Side of the World,2003
13051,tt0467197,Max Payne,2008
118683,tt2119474,Maximum Conviction,2012
10861,tt0117011,Maximum Risk,1996
10625,tt0377092,Mean Girls,2004
7278,tt1073498,Meet the Spartans,2008
77,tt0209144,Memento,2000
34341,tt0263734,Men with Brooms,2002
9516,tt0107554,Menace II Society,1993
82,tt0430357,Miami Vice,2006
70833,tt1792584,Michael Flatley Returns as Lord of the Dance,2011
14813,tt0085936,Mickey's Christmas Carol,1983
530385,tt8772262,Midsommar,2019
16617,tt0297284,Mindhunters,2004
180,tt0181689,Minority Report,2002
13515,tt0790686,Mirrors,2008
283366,tt1935859,Miss Peregrine's Home for Peculiar Children,2016
954,tt0117060,Mission: Impossible,1996
353081,tt4912910,Mission: Impossible - Fallout,2018
56292,tt1229238,Mission: Impossible - Ghost Protocol,2011
177677,tt2381249,Mission: Impossible - Rogue Nation,2015
955,tt0120755,Mission: Impossible II,2000
956,tt0317919,Mission: Impossible III,2006
9297,tt0385880,Monster House,2006
17431,tt1182345,Moon,2009
428078,tt1571234,Mortal Engines,2018
460465,tt0293429,Mortal Kombat,2021
